Row,mkpsq,mppisq,cos_theta,phi_p,chi
62,3.5512745,1.4610807,-0.287381,-1.423203,-0.986429
63,2.2999450,2.4580645,0.7689035,1.1307251,0.7921991
64,2.8033437,1.9232703,0.0705625,-0.328749,-0.826931
65,4.0567368,1.5117982,-0.797906,0.5598639,-0.495888
66,3.1293088,2.5041309,-0.729882,-3.074779,-0.020883
67,4.2118232,1.4898163,-0.451541,1.7261324,-3.110509
68,3.7646744,1.5458228,-0.681842,-1.983397,1.1103883
69,4.1093535,1.4591879,-0.445760,2.0401532,2.9772119
70,3.7049684,1.3335139,0.7358121,1.7315932,0.4904981
71,3.5698573,1.7739326,-0.994555,-2.957940,-2.562856
72,2.7127035,2.7941010,-0.890478,0.0206971,1.9775594
73,2.7870353,2.8243018,0.3529670,1.6262743,-0.983938
74,3.3493010,1.4704967,0.6739129,1.6999681,0.3185028
75,3.9209936,1.6347625,0.9869926,2.2032671,1.4649746
76,2.9613086,2.5786876,-0.489327,1.4483750,-0.051974
77,3.0250638,1.7836948,-0.094029,2.4283778,2.5100204
78,2.4906507,3.0889411,-0.559019,-0.822277,-1.748869
79,4.0599917,1.7545891,-0.576076,2.9746341,-1.625348
80,4.1716072,1.7288779,0.9597285,-0.854837,-2.452521
81,3.2317093,2.4195280,-0.313697,2.5313384,-1.925534
82,2.5124209,3.0516153,0.5669272,0.3071375,-0.806716
83,2.9988321,2.3263969,-0.523221,-1.172770,-0.377351
84,2.9529431,2.6168115,0.7574220,0.3992794,1.8019953
85,3.3882817,1.5071394,-0.188385,-2.831035,1.0757737
86,3.3138515,1.5014830,0.2066308,-0.628542,-0.662051
87,4.2071099,1.6481841,-0.359059,2.8406095,-1.655226
88,2.2857355,3.0489708,0.5274659,2.3473082,2.4307251
89,3.4547748,1.8557504,0.2167925,-0.762556,2.7118127
90,3.4144834,2.2451433,-0.368354,-2.444477,2.7704272
91,2.9680802,2.6371633,0.9302029,-1.742991,-2.884498
92,3.9640651,1.6140718,0.4449433,1.1240324,1.2184611
93,4.2240556,1.7432466,0.6230974,-1.655453,-2.148348
94,4.2172545,1.6301395,0.1721304,-1.680375,-3.043242
95,4.2051892,1.6901228,-0.084954,-2.207734,1.2491519
96,2.7043602,2.9949178,-0.491777,-2.317779,-1.491409
97,4.0286104,1.4391355,0.9542924,-2.200898,0.5640547
98,3.1011412,2.4667616,0.4229714,2.6429705,-2.252720
99,4.3639035,1.4090104,0.4048266,2.8388006,1.6441499
100,3.9258710,1.7056223,-0.824701,1.3924476,-2.754498
101,3.1613872,2.4355093,0.5259999,1.9886475,1.6607348
102,3.1223832,2.4224831,-0.681983,-0.312408,2.6016795
103,3.1431332,2.4747396,-0.607993,-0.100887,1.1481151
104,2.9352359,1.7506902,-0.709226,-0.762558,1.4289247
105,4.1327789,1.5014584,-0.783418,2.5282005,0.0666543
106,3.8702939,1.3346533,-0.942203,-1.161431,2.4897080
107,4.0568661,1.5765547,0.2310441,-3.019709,-3.036232
108,4.4027211,1.5403915,0.9813749,-2.239155,-0.038905
109,3.9464186,1.5434554,-0.685608,0.9648922,-0.306175
110,3.7881769,1.5622935,0.4001090,0.7226390,0.3611398
111,3.2215202,2.3277029,-0.876200,-1.903141,-1.854557
112,3.5688330,1.465122,-0.572964,-2.209177,1.0243246
113,2.876672,2.7046580,0.6749143,0.2924825,-1.996924
114,3.9756134,1.8651344,-0.051520,-2.882352,1.0592518
115,2.4594043,3.0626828,0.8910853,-2.080774,-2.645916
116,2.9137694,2.0185329,0.9504829,0.0629203,-2.513847
117,4.0741499,1.5033722,0.7132233,0.2196075,-0.260327
118,2.6441810,2.9621854,0.5220878,-2.001674,-2.021184
119,3.6875621,1.3912395,0.6554626,1.1955530,2.7914805
120,3.2574812,2.2821536,-0.361949,-0.261745,1.0273720
121,2.2962785,2.9149083,-0.149407,0.9722024,2.7158946
122,2.7008664,2.7579726,0.8750072,2.561272,-1.659648
123,3.7811046,1.3104477,0.7187879,-2.075409,-2.192898
124,3.5950591,2.2749101,-0.219799,-1.142871,-2.526930
125,3.6555498,1.5218569,-0.178239,0.8969065,1.8994514
126,3.7847682,1.7804222,-0.780862,0.2107919,-2.179712
127,3.7224176,1.6817487,-0.407764,0.2274796,3.1376589
128,3.3847486,2.1918410,0.5187112,1.3906914,-1.526134
129,4.2985819,1.6143477,-0.887878,-1.995973,-0.980446
130,4.0188935,1.6864813,-0.951508,-0.630111,2.6749954
131,3.5758256,1.5144815,-0.464656,-0.522097,-1.264859
132,3.4577650,2.1440627,-0.135277,-0.891835,3.0348860
133,3.4471380,1.8647131,-0.468785,0.9691227,-0.466078
134,4.1522715,1.4630454,-0.647390,1.5109449,-3.130616
135,4.5340323,1.3514512,0.7488405,0.1269440,-2.551819
136,3.5782636,1.4771336,0.5394785,1.0114389,2.3284841
137,4.0498881,1.4956979,-0.221037,2.0532097,-2.563851
138,3.5051876,1.9932517,-0.927285,1.5116359,0.3738401
139,2.2344532,3.0833847,0.7701808,1.1378563,-1.917664
140,4.4408215,1.5072865,-0.365464,0.5356711,1.3297923
141,3.2955007,1.4958307,0.1152287,-1.523566,-1.357535
142,3.2226974,2.3205624,0.5482306,2.5311450,0.8057968
143,3.7506075,2.0748366,-0.313340,-1.081671,1.4233250
144,4.4583553,1.4550407,0.6692182,1.9539821,0.6057010
145,4.3404785,1.4922829,0.6493573,2.5894326,-0.698391
146,4.3245487,1.2341346,-0.120519,1.3374551,0.2897820
147,4.2381032,1.4996760,-0.659475,-1.035741,0.0136331
148,2.8007254,2.8211574,0.6738766,-0.846774,-1.243272
149,3.5167072,1.5286645,0.3078269,-1.922903,1.9765555
150,4.3561953,1.5620183,-0.219313,-1.343392,-1.122702
151,4.2273302,1.7034269,-0.679246,-1.865943,1.7101382
152,3.9747987,1.7010833,0.4884327,-0.075604,-0.267366
153,4.2379710,1.3855852,-0.078066,2.1740811,2.7694406
154,2.6674758,2.9091193,-0.500602,0.0698638,-0.725418
155,3.3341277,1.7787984,-0.455524,-2.267443,0.8899763
156,3.1943008,1.6254468,0.0439969,1.2459342,2.5210363
157,3.9238464,1.6308662,-0.119515,-2.720502,-0.177726
158,3.3246326,2.2343321,0.5041884,-0.002252,0.8092743
159,4.3863692,1.3877429,-0.925728,-1.832381,0.9895305
160,3.7375078,1.8350560,0.8771441,-1.944387,0.1268880
161,4.3342116,1.3183882,-0.196698,1.9416904,0.2029284
162,4.0019195,1.6445540,-0.477246,-1.352001,2.1929769
163,2.1498591,2.7951522,0.8574991,-0.594206,-1.438692
164,3.4170131,1.8949371,0.2501583,-1.717293,1.9757594
165,3.8170137,1.8248488,-0.831107,0.5802535,-1.971879
166,3.4596944,1.4247170,0.9783658,1.3789819,-0.329133
167,3.1210452,1.7901713,-0.808846,-1.873001,0.8794182
168,3.3639036,1.9624124,0.8465843,-3.026108,-2.394730
169,4.2257060,1.5954089,0.4441995,-3.053484,-2.473731
170,3.1852061,1.5880606,0.7035905,-0.251771,-0.906715
171,3.2159580,1.7034284,-0.422463,2.3618895,1.1952207
172,3.8734478,1.6171792,-0.365157,1.1405105,0.5526507
173,2.9683849,2.5963085,0.4728246,-1.261268,1.5240773
174,3.5686648,1.6149850,0.9341093,2.9113674,-1.540035
175,2.4042851,2.8798649,-0.795429,0.9442623,0.4241580
176,4.3244386,1.2756500,0.3477467,3.0935482,2.1864796
177,3.6318242,1.8332318,0.9409519,-0.866296,1.0949565
178,3.6106256,1.9963001,0.4107814,0.3495957,-1.757696
179,3.6703977,1.9465718,-0.272374,2.6594629,0.1652025
180,4.2498718,1.4433943,0.5726830,3.0322368,-1.493263
181,4.2961841,1.5040480,-0.618398,2.3925465,-2.454754
182,4.0605294,1.6757904,-0.304953,1.9796645,1.7671620
183,4.2713694,1.6576446,0.4102197,-2.341867,-0.412976
184,2.3217454,2.8197977,0.8404275,1.6074074,0.3822721
185,2.2947537,2.3750734,-0.077196,-1.074032,1.6751132
186,4.4265929,1.2088916,0.6505679,2.8089767,-1.115459
187,4.4719439,1.4598717,0.9253448,-2.465553,-3.030109
188,4.5259237,1.3926049,0.8033717,-2.799167,-0.169748
189,4.2690783,1.5801046,-0.190542,2.7071637,-1.922806
190,3.0548591,2.4934024,0.0005843,-3.052511,-1.831949
191,3.8814457,1.3240362,0.9178623,2.5696978,-0.445598
192,3.5483011,2.0350568,-0.508539,0.1879354,3.1154387
193,2.5979135,2.9280720,0.5281440,-0.724923,-1.337182
194,3.5598098,1.7909903,0.2290319,-2.871652,-2.565255
195,3.4613777,2.2817856,0.0438432,-2.089177,1.2473795
196,3.6274277,1.4617636,-0.868579,-2.449736,-0.404507
197,4.3406243,1.1823941,0.3138512,0.6121785,-1.918965
198,4.2846738,1.4214437,-0.620639,0.1819278,1.3961362
199,2.3867733,3.1866884,0.0022942,-0.366406,1.8485285
200,4.1803365,1.3994205,0.0951188,-0.822505,1.3458656
201,2.5979938,2.9298423,0.1894142,-2.302322,1.9496417
202,2.7386172,2.4279024,0.1353918,-0.433668,0.1647845
203,3.2310408,2.3347190,0.9922206,-1.225593,1.2779937
204,3.3826795,2.1917236,-0.241458,1.6566711,0.0913011
205,4.1071061,1.5137255,0.9469333,1.9249925,-2.556199
206,2.8955995,2.7020772,-0.991656,1.1329389,-0.241471
207,4.4176054,1.2355692,0.7928073,2.2173920,1.0564837
208,2.8973158,1.7280688,0.8035078,-1.446168,-3.002967
209,3.6491536,1.5687171,-0.939001,-0.393084,-1.965625
210,3.8192607,1.4815863,-0.057138,-2.478802,-2.837915
211,2.2808682,2.9304159,-0.271640,0.4178119,-0.074197
212,3.5225912,2.3430747,-0.209428,-1.662751,0.8568647
213,2.4371251,3.1419719,0.9939319,-2.173586,-3.056485
214,3.8255120,1.3563835,0.2153267,1.0153306,-1.118503
215,2.4422636,2.9640032,-0.951971,-2.910293,2.1147306
216,3.8011676,1.9035934,-0.467978,1.0365440,0.7899758
217,3.0164988,2.5507783,-0.388933,-0.961791,-3.108263
218,3.0178700,1.6999267,-0.718621,2.8142237,-0.336247
219,4.0108692,1.9244493,-0.578831,2.3668633,2.2398040
220,3.6278643,1.4191058,-0.144411,-0.645976,0.4883019
221,3.0194126,1.8652510,-0.810041,2.3808443,1.3349161
222,3.1050687,2.4807228,0.1337649,-2.557616,-1.473384
223,4.3325591,1.4305521,-0.364066,2.1247716,0.2773603
224,2.5445243,2.9901222,0.0439039,0.7076252,2.1400445
225,2.6213107,3.0479758,-0.632442,-0.013700,-0.885013
226,2.9431656,1.9968022,-0.130270,-1.690163,1.1670839
227,3.8288355,1.6863367,-0.490051,2.3982703,1.8658156
228,4.0545284,1.5339560,-0.729195,2.8589766,1.9704742
229,3.1111902,1.6737759,0.8132461,0.8971722,-0.112653
230,4.3632071,1.2453301,0.6910962,-3.061256,-1.716027
231,3.8280394,1.6192059,0.8027639,1.3410569,2.6704190
232,3.6252838,1.4278125,0.7225370,-1.154004,-1.489799
233,2.3325968,3.1411341,0.7514561,-2.478615,1.0907166
234,3.5994186,1.9988587,0.7798489,0.925837,0.5193886
235,3.8023403,1.7421952,-0.240491,1.6269967,-2.711348
236,3.2490917,1.6141948,0.6912610,-3.114615,-2.608179
237,4.0600125,1.5766643,-0.049831,-2.138266,2.7871825
238,2.2957338,2.6749566,-0.416304,-1.770820,-1.673498
239,4.3796703,1.2111664,0.4412255,1.7734532,-2.449578
240,4.0091318,1.5529826,0.2851323,1.8436923,1.5867452
241,4.3417069,1.5116714,-0.115076,-2.356189,-2.290643
242,2.7122300,1.8827544,0.4142509,-1.802309,-1.244191
243,3.7637950,1.5795266,0.1701975,0.5785824,0.2567208
244,3.2782023,1.5478644,0.9596041,-0.428311,0.9577064
245,4.1695678,1.3710719,0.7720791,-1.505979,-1.489816
246,2.9234139,2.6729309,0.7652333,-0.572186,0.8792894
247,2.5611402,2.3938921,-0.453607,0.5146580,-1.125334
248,2.9895842,1.715227,-0.020714,-1.644053,0.3702491
249,3.0704538,1.6952660,0.7122052,-1.386071,-1.679240
250,4.1983012,1.7189149,0.5306227,-2.539414,1.4127226
251,4.0246053,1.4868979,0.3905069,-1.861375,0.2129779
252,3.1565647,2.4785736,0.2435587,1.1837652,0.3473647
253,3.0818011,2.4865612,0.3346544,-1.169692,2.9811161
254,2.3032311,2.5473433,0.8498831,1.6626802,2.9998610
255,3.4043698,1.6030298,0.8484788,-2.633014,-1.506419
256,4.3091297,1.2835827,-0.911414,0.3358585,-1.774306
257,2.9489847,2.6018329,-0.838813,0.4374862,2.5698281
258,3.2907869,1.7602019,0.2764898,-1.097843,-0.927304
259,2.2561559,2.3718625,0.6579662,0.9812320,0.6932573
260,3.3514875,1.5987735,-0.258218,2.7165714,1.5762560
261,2.2968606,2.9505049,-0.654246,-2.495972,1.7630172
262,3.1211565,2.4116417,-0.201391,1.0273447,1.5218636
263,2.3811383,3.1710580,0.9850559,-0.417790,-1.780055
264,3.9436457,1.6434830,0.3507743,-0.085398,1.1284888
265,2.8424798,2.6721373,0.4972932,-2.940409,1.4136987
266,4.4095957,1.1838465,-0.218278,1.0904052,-1.611058
267,3.0597086,2.4763037,-0.049937,3.0181420,2.2696269
268,4.3269849,1.2261358,0.3943119,-3.049552,3.0792057
269,3.1482424,2.5595008,0.5925057,-2.459761,-3.023770
270,2.2282555,3.2104251,0.0827478,-0.933422,3.0492548
271,2.8073935,1.9440024,-0.917879,-0.757023,-0.196204
272,2.2780208,3.0002505,-0.815511,2.2882649,1.6643468
273,3.2911165,2.3211351,0.4520997,-0.763499,-2.067850
274,3.9397838,1.5449485,0.5933586,2.4063401,1.2434844
275,3.6600290,1.4245959,0.8462441,-0.650001,-0.986354
276,2.3655152,2.3200129,-0.772511,-2.583182,-1.650243
277,4.0414416,1.4728708,-0.418626,-0.317227,-1.158240
278,2.6658364,2.8320375,-0.801858,-2.333820,2.9454103
279,4.0773798,1.4058515,0.8300321,-2.675392,0.0050935
280,4.1612091,1.4560313,-0.714568,-3.121556,1.6237212
281,3.8205950,1.3620012,0.6102749,1.2816703,1.7241884
282,3.3145318,2.2811348,-0.690963,-0.592472,0.5350990
283,3.1804065,2.3067810,0.6345235,-0.572220,2.9561262
284,3.3526420,1.6407288,-0.938524,2.230209,-2.736272
285,3.8712920,1.7026246,-0.657436,0.6737539,-1.391547
286,2.3513468,2.3725632,0.1744600,2.8935860,2.8224283
287,3.6012011,1.4988658,0.8061672,-2.592110,2.0019700
288,4.2100086,1.3786942,0.7156159,-0.409854,-2.101475
289,4.4171876,1.4918735,-0.490443,1.0315130,0.8943794
290,4.5320618,1.2511243,0.3822565,-1.558084,-1.842829
291,3.6323808,1.3836893,-0.306877,-0.236935,-1.800069
292,2.6522257,2.8987253,0.4070371,-2.109678,0.4395570
293,4.3002713,1.2413208,-0.443654,-2.662497,0.6153957
294,4.2926655,1.4211004,-0.107139,-0.675020,-2.209288
295,4.0372147,1.6370408,0.2382238,-0.289610,1.4431545
296,4.1926907,1.4994898,-0.057889,-2.970756,1.6660991
297,3.8224458,2.0132774,0.0785721,2.9541296,1.4395481
298,3.5498426,1.6099371,0.4975488,-2.977728,2.8802741
299,3.1800878,1.5632489,0.0304732,-0.184583,-1.255205
300,4.2243210,1.3281782,-0.991302,-2.570681,-1.082859
301,3.4102593,2.2724069,0.9761276,-3.050579,-2.921464
302,3.5846772,1.7794153,-0.392600,0.5217018,-2.112603
303,3.9045575,1.9934965,-0.581031,-2.070365,-2.345762
304,3.3467448,1.5716023,-0.210043,1.2344934,-2.377116
305,3.1555419,2.4560206,0.0208400,-3.098415,-0.247086
306,3.9150239,1.6119976,0.1970865,-0.455494,2.3871004
307,4.1090930,1.6259764,-0.368470,1.2525134,0.3489409
308,3.5659110,1.9657877,-0.936420,-0.932365,1.7236193
309,3.5548736,2.0118120,-0.349545,1.1889415,-2.909728
310,4.3459902,1.6069778,-0.722531,-3.014342,2.4676387
311,2.7301441,2.8350929,-0.626294,1.2295361,2.8867699
312,2.6652270,2.8706013,0.4409347,-3.095041,-2.230965
313,3.4163317,2.1115332,-0.822691,1.1108666,1.6167275
314,4.4195760,1.1652817,-0.105952,-0.155537,-1.193232
315,2.7760553,2.8035013,-0.081707,-2.663846,-3.030408
316,3.5447841,2.1757560,0.3299137,-0.956676,-1.793309
317,4.0052316,1.7345556,-0.703980,-1.991460,2.1592209
318,2.2490859,2.4158998,0.4624207,-1.373001,-1.571712
319,2.9037968,2.5571085,-0.832808,-2.665998,2.8150426
320,2.8159058,1.8964775,-0.390970,-2.076261,0.3543852
321,3.6276578,1.5102327,-0.519554,2.2716865,1.7419105
322,3.8095651,1.7502004,-0.475544,-3.089726,-2.083223
323,4.0503323,1.5862057,0.8794547,1.9849746,-1.617032
324,4.1679819,1.7159428,-0.336038,1.2263774,0.0849062
325,3.1673180,1.7327367,0.2128261,-1.117012,-1.185598
326,2.7137916,2.8819202,0.7888962,-1.959660,0.5176701
327,3.4265185,2.1696002,0.4023982,-1.640856,-2.134552
328,3.8843640,1.2879752,0.9519871,-0.061443,-0.913203
329,4.4264697,1.2553064,-0.145440,-1.242612,3.0579549
330,4.1102007,1.3317498,-0.455429,-1.988196,2.7745151
331,3.5557944,2.0199043,0.6617351,-2.038600,-0.501079
332,4.4052243,1.1956348,-0.809574,1.5107883,2.1720028
333,3.1159282,1.6506936,0.2381578,2.5285515,-0.084630
334,3.2759821,2.0531067,-0.734806,-0.394413,-2.446995
335,4.3476591,1.5644018,0.6461278,0.5847055,-2.610206
336,2.261317,3.1270255,0.3278925,-1.426146,2.3173561
337,2.9751701,2.6251251,0.1085191,-1.615922,-2.111908
338,3.7643273,1.5525425,-0.601606,0.7181895,1.5418104
339,2.4277629,3.1250037,-0.509337,-0.065835,-1.898445
340,4.4442127,1.3922581,0.8792752,-1.274811,-1.294175
341,2.5797418,2.3921345,-0.095842,0.9329715,-0.222374
342,4.4467259,1.3254959,0.9892960,2.6205215,0.8897882
343,3.5950599,1.9589381,0.7953515,2.5069204,-2.953593
344,3.5283425,1.5189516,-0.391237,-0.145963,-0.639238
345,3.8170048,1.6090100,0.7073782,1.2595795,-0.921021
346,4.1323883,1.5152671,-0.185207,-0.658017,-1.739292
347,3.7934835,1.5937055,0.9931327,1.9333985,-1.516972
348,3.9369454,1.4640950,0.0545784,2.8951592,0.2773973
349,3.4536686,2.1249893,0.3462089,0.0767774,2.9788001
350,4.2038239,1.4733408,-0.787282,-2.308864,3.1136155
351,4.2536263,1.3085366,0.7109986,-2.138174,-0.468625
352,3.2314044,2.5108196,0.4207522,0.7622086,0.1242795
353,2.3198771,3.1056510,-0.149513,-0.743001,-0.131737
354,4.0387661,1.5457704,-0.747260,-0.556833,0.6395025
355,4.1389845,1.5243599,0.5024185,-1.776237,-2.064655
356,4.1643634,1.3905705,0.7774905,-1.886583,2.6726223
357,3.8071630,1.3356900,0.6159947,-1.245514,-0.225210
358,2.2880505,3.056559,-0.858565,-2.199497,-0.630587
359,3.697231,1.4304218,-0.733922,-1.659106,0.1285794
360,2.2984203,2.3323499,-0.784659,0.6631102,-2.929778
361,3.6990353,1.3573336,0.4370902,2.5987338,0.6827245
362,3.7199858,1.5408731,-0.578621,-1.474471,-1.113765
363,3.3196280,1.6623834,-0.383177,1.4961872,0.6308657
364,4.1188739,1.4070148,-0.285459,1.0068550,2.9909942
365,4.2482472,1.3692572,0.4408531,-0.631319,0.9775822
366,2.2798359,3.1838356,0.3259512,-1.485899,-2.857342
367,2.8050392,2.7718268,-0.527952,-1.973190,-0.638320
368,2.9395441,2.6587401,-0.346982,-0.459731,-0.800323
369,3.0243609,1.6420548,0.6806106,2.1094935,2.7069194
370,3.3940595,1.5502826,-0.822679,-0.449158,1.2009227
371,2.4609793,3.0878498,-0.464951,-3.095237,-0.940703
372,2.3865842,3.1757018,-0.873441,0.0486661,-1.461235
373,3.0755560,2.3203961,0.1622656,-1.787969,-0.329249
374,3.1563245,1.7208211,0.4044004,-2.708549,2.7022149
375,3.2611268,1.5552821,0.9371571,2.7582889,-0.895640
376,2.4695470,2.8436714,-0.821478,-3.067313,-2.374816
377,3.4667397,1.6160715,-0.616361,0.5195666,-2.062554
378,3.6300820,1.5838090,0.5892846,2.7379484,-0.058232
379,3.9982079,1.7329032,0.3433316,0.1305818,-2.444665
380,3.4804695,2.1099518,0.8939762,0.2975870,-2.829401
381,2.8187410,1.9642074,0.4604571,0.6150742,-0.137176
382,2.4785827,3.0859893,0.4690995,-2.636834,-1.494081
383,3.7049969,1.4482874,0.7102695,-0.262731,-1.155627
384,3.2104954,2.3613999,0.7650643,-2.055776,-2.339170
385,3.5464640,2.2257690,-0.060969,0.8639558,-1.695735
386,3.2976374,1.7456949,-0.858620,0.2199545,-0.431230
387,4.5201606,1.3738498,-0.580474,-0.496868,-2.805444
388,3.9197941,1.5816512,0.3944361,3.1205581,2.0691978
389,2.9677907,2.5735533,-0.627906,3.0478078,1.9867264
390,3.1481184,2.7082264,-0.418992,-1.997976,-0.711024
391,2.9016231,1.8417146,0.8247667,-1.746678,-2.277873
392,3.0541362,2.5450543,-0.075084,-0.848576,1.8900279
393,2.9180981,1.7674284,-0.199868,-0.950039,-1.469952
394,3.4604453,2.1269585,-0.673759,-2.721823,2.1749375
395,3.5940564,1.4601201,-0.899477,0.8362182,-2.943376
396,2.9116790,2.4637836,-0.726574,-2.495733,-1.484756
397,4.3048602,1.4955794,-0.640717,1.5203534,1.4232487
398,3.7252139,1.3235044,0.8256772,-1.553121,1.1500318
399,3.6323269,1.9624881,0.0862869,-2.639555,1.3453053
400,3.0650194,2.5005227,0.2106368,0.7415604,-2.881263
401,4.1110344,1.4983393,-0.448450,-0.076527,2.8454418
402,3.1908124,2.3717836,0.0706254,2.0217365,-1.869279
403,4.2687056,1.6752194,-0.230711,2.6800585,-2.379000
404,2.6950990,2.5860178,-0.548869,0.1346673,-1.517050
405,2.3281761,3.1856269,0.3899521,2.3670791,0.1801141
406,2.9211851,1.8954574,0.5638988,-2.846408,-1.953290
407,3.5188596,1.4801569,0.6082791,-2.316351,2.7452610
408,3.6970582,1.8320081,-0.986743,-0.743705,-0.426966
409,2.1138439,2.8267661,-0.980156,-1.520148,-2.500450
410,3.1109590,1.5925517,0.7437240,1.5996636,-1.979978
411,2.4172622,2.8348300,-0.231736,0.1064401,0.5218027
412,3.8736501,1.4100548,-0.494606,0.8385013,-2.158575
413,4.3657154,1.5018319,-0.889642,0.4729379,0.9310881
414,3.5323232,1.4576196,-0.957757,-0.914374,0.6942484
415,4.1594422,1.3941008,0.7108987,1.2778413,0.9910827
416,3.026415,1.6985570,-0.580427,-2.976084,2.3449571
417,3.6242572,1.7181639,0.9113274,-1.550915,0.5971293
418,2.9321248,1.8051300,0.3710963,-0.529988,2.5034904
419,3.2452094,2.3230079,0.5401621,2.3320939,-2.356181
420,4.0698791,1.5695853,0.5025451,0.0798191,-2.752576
421,4.3288659,1.2936017,-0.905509,2.9927413,1.9377408
422,3.4003483,1.7718778,-0.169559,-2.093981,2.8602902
423,3.4859156,2.0461731,-0.542554,-1.532780,2.2402236
424,4.1104536,1.5253139,-0.218331,-2.992161,0.3970856
425,4.0430604,1.6639354,-0.312511,-2.543743,2.8312775
426,3.9628625,1.8563191,-0.657342,-3.026349,1.0475116
427,3.5904468,1.7147959,0.0930647,3.1100149,1.8152859
428,4.2302539,1.3590602,-0.152752,2.4530241,0.0450929
429,2.5270666,2.9917739,0.5278374,-2.579599,-2.382939
430,4.1442268,1.5052013,-0.976803,-0.098483,0.7667107
431,2.2691603,3.1743971,-0.216955,-1.374362,0.6659614
432,2.6211554,2.9655211,-0.930852,-1.644254,-1.993065
433,4.3787937,1.1859888,0.8925750,-0.420727,0.4097639
434,4.1058232,1.5986935,-0.024796,1.2204928,-1.490258
435,2.5564568,3.0435223,0.3279475,0.3360628,-2.490521
