,A,B,C,D,A1,A2,B,B2,
A,0.00891607,0.000154278,0.00630562,-0.00131565,0.000562319,-0.000382715,4.18002e-05,-0.000102589,
B,0.000154278,5.44999e-05,0.000509227,-5.14972e-05,-2.60823e-05,1.03512e-05,2.68247e-06,-1.16919e-06,
C,0.00630562,0.000509227,0.0248952,-0.00272449,-2.90496e-05,2.73824e-05,2.22091e-05,0.000375657,
D,-0.00131565,-5.14972e-05,-0.00272449,0.000723045,-5.54192e-05,2.2858e-05,-5.386e-06,-0.000107448,
A1,0.000562319,-2.60823e-05,-2.90496e-05,-5.54192e-05,0.000187016,-0.000121988,5.31537e-06,-2.50052e-05,
A2,-0.000382715,1.03512e-05,2.73824e-05,2.2858e-05,-0.000121988,8.67607e-05,-4.37685e-06,5.43231e-05,
B1,4.18002e-05,2.68247e-06,2.22091e-05,-5.386e-06,5.31537e-06,-4.37685e-06,2.90994e-06,-9.70919e-06,
B2,-0.000102589,-1.16919e-06,0.000375657,-0.000107448,-2.50052e-05,5.43231e-05,-9.70919e-06,0.000354794,
