,Event nb,10000,20000,50000,90000,100000,200000
0,xi for xi = 1.0,1.0376368203898771,1.02681947712373,1.011070906534541,1.0136574081511271,1.0114132986599549,1.010770908550751
1,sigmaXi for xi = 1.0,0.02329183167549444,0.01580084700339697,0.010053335390838079,0.007459070756056656,0.007135754746560438,0.004787358571365279
2,xi for xi = 0.9,0.8462064773762663,0.8866778851479062,0.8859790166068308,0.8950651308319946,0.8965974211513217,0.8971505739832143
3,sigmaXi for xi = 0.9,0.026309261983907876,0.018503076333629284,0.011582853594265264,0.008593904974681455,0.008146591142481018,0.005458682390577672
4,xi for xi = -1.0,-1.0148053381012987,-0.9994597955413753,-0.9949889283976732,-0.9966262974197204,-0.9939934438842883,-0.9963778733581647
5,sigmaXi for xi = -1.0,0.022148284648717785,0.017070916720116357,0.010278886375992766,0.007644921846439441,0.007322667525310289,0.0051546061191313376
6,xi for xi = -0.9,-0.8888193280153255,-0.8925457943587768,-0.8898571440805132,-0.8991086088892218,-0.9041622262893044,-0.902770637401251
7,sigmaXi for xi = -0.9,0.026102297104376213,0.01844110490903482,0.011524812367020479,0.00849737313811112,0.008027651203796525,0.005642382199222112
