,Event nb,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000,13500,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20500,21000,21500,22000,22500,23000,23500,24000,24500,25000,25500,26000,26500,27000,27500,28000,28500,29000,29500,30000,30500,31000,31500,32000,32500,33000,33500,34000,34500,35000,35500,36000,36500,37000,37500,38000,38500,39000,39500,40000,40500,41000,41500,42000,42500,43000,43500,44000,44500,45000,45500,46000,46500,47000,47500,48000,48500,49000,49500,50000,50500,51000,51500,52000,52500,53000,53500,54000,54500,55000,55500,56000,56500,57000,57500,58000,58500,59000,59500,60000,60500,61000,61500,62000,62500,63000,63500,64000,64500,65000,65500,66000,66500,67000,67500,68000,68500,69000,69500,70000,70500,71000,71500,72000,72500,73000,73500,74000,74500,75000,75500,76000,76500,77000,77500,78000,78500,79000,79500,80000,80500,81000,81500,82000,82500,83000,83500,84000,84500,85000,85500,86000,86500,87000,87500,88000,88500,89000,89500,90000,90500,91000,91500,92000,92500,93000,93500,94000,94500,95000,95500,96000,96500,97000,97500,98000,98500,99000,99500,100000,100500,101000,101500,102000,102500,103000,103500,104000,104500,105000,105500,106000,106500,107000,107500,108000,108500,109000,109500,110000,110500,111000,111500,112000,112500,113000,113500,114000,114500,115000,115500,116000,116500,117000,117500,118000,118500,119000,119500,120000,120500,121000,121500,122000,122500,123000,123500,124000,124500,125000,125500,126000,126500,127000,127500,128000,128500,129000,129500,130000,130500,131000,131500,132000,132500,133000,133500,134000,134500,135000,135500,136000,136500,137000,137500,138000,138500,139000,139500,140000,140500,141000,141500,142000,142500,143000,143500,144000,144500,145000,145500,146000,146500,147000,147500,148000,148500,149000,149500,150000,150500,151000,151500,152000,152500,153000,153500,154000,154500,155000,155500,156000,156500,157000,157500,158000,158500,159000,159500,160000,160500,161000,161500,162000,162500,163000,163500,164000,164500,165000,165500,166000,166500,167000,167500,168000,168500,169000,169500,170000,170500,171000,171500,172000,172500,173000,173500,174000,174500,175000,175500,176000,176500,177000,177500,178000,178500,179000,179500,180000,180500,181000,181500,182000,182500,183000,183500,184000,184500,185000,185500,186000,186500,187000,187500,188000,188500,189000,189500,190000,190500,191000,191500,192000,192500,193000,193500,194000,194500,195000,195500,196000,196500,197000,197500,198000,198500,199000,199500
0,xi for xi = 0.9,0.8257106538223125,0.8497841937451617,0.8169101651540581,0.7685882770689989,0.757288034750051,0.7746717696691579,0.7734306617213311,0.7756700653900365,0.7884211379834279,0.8048883706061634,0.8147127827566224,0.7959410732251779,0.8164230874920242,0.8273334341668187,0.8352881686030411,0.8467675451805954,0.8524077331616119,0.8591817368103255,0.8590871449124345,0.8612052341262086,0.8609985450078502,0.8602326120531731,0.85607497319022,0.8626850438900115,0.8741358079358678,0.8762018217251064,0.8796061495102218,0.8770784255196683,0.8861340765061377,0.8914311027525126,0.8913632761701892,0.890672394451444,0.8874557265089985,0.8828213606779582,0.8844372172784213,0.8862382258839737,0.8845018619651075,0.8853140279649648,0.8780473923914682,0.8825638161660575,0.8862069539829894,0.8846748156027888,0.8794625262043511,0.8799673737929856,0.8828743816286779,0.8913142289855424,0.8886610154976426,0.889209868360287,0.8877994935407695,0.8904753331798235,0.8797103690116193,0.8771354789715048,0.8735993398197301,0.8708286455145149,0.8715357488177646,0.8773236331625449,0.8753071834732137,0.8775060809150376,0.8806713806284354,0.8846643819374606,0.8850011549091711,0.8835237753318759,0.8805860282647816,0.8850519273220829,0.886724497797581,0.8880526340013525,0.8883866411492674,0.8883648306373434,0.8915496312538479,0.897662617877204,0.8961790946006329,0.8917722096136728,0.8909108751366305,0.8911808556679159,0.8910152628567547,0.8902266250073722,0.8885241120889524,0.8882099777951932,0.8897587207572083,0.8883624310381368,0.8846172792549087,0.8818486634557701,0.8859623192515392,0.8871222844257372,0.8875056803529091,0.8868341354550863,0.8842310541402789,0.8856330524929237,0.8851130179462778,0.8854443111443522,0.8867072454620694,0.8897696227567181,0.890317322523205,0.8885718669617084,0.8883391479485969,0.8855025244464282,0.8875178270808859,0.8896351022759824,0.8917724849404163,0.8919964524077283,0.8929031874517364,0.8951867774057087,0.8944369780788014,0.8915556957680864,0.8939105479731061,0.8941404170838936,0.8931161947713517,0.8935430969818502,0.8950245308424376,0.8935409137932835,0.8953659332789956,0.8938241146458563,0.8941809195530803,0.8935283647501446,0.8961084238289136,0.8942593047791618,0.8931543488268873,0.8914148719604946,0.8909852390171915,0.8918496304457492,0.8924763112813916,0.8906078713686586,0.8905077307361723,0.8896067086903298,0.8916529147569228,0.891480767021339,0.8905432486484345,0.8929886219880526,0.8916491095698513,0.8933316807882759,0.8938781503422132,0.8947156141813367,0.8945559621095052,0.8941315109958078,0.893736839795979,0.8941746358547804,0.8943561806455879,0.894248946664421,0.892837630496984,0.8917059870989763,0.8920190063013542,0.8897714420316644,0.889610776818118,0.8913388642403441,0.8909920472390407,0.8914128604869193,0.8931895422743896,0.8925909056311164,0.8930680244710809,0.8926726833774897,0.894090281976479,0.8939928976696254,0.8934788788127124,0.897104147425736,0.8957625888870296,0.8942150758937368,0.8946735125089516,0.895181634395701,0.8944230559322814,0.8923211544492582,0.8932371978890304,0.8922652804315836,0.8931956441466171,0.8935946930948312,0.8937925423325028,0.8915423485285748,0.8913823417367618,0.8915783126922017,0.8911153824732243,0.89066917529685,0.8898516100190136,0.8890514272079999,0.8889700582149354,0.8890560255960204,0.8893854355345128,0.888391149237337,0.8883816530041401,0.8874343295230989,0.8878613174997355,0.8871710323075832,0.8868817330567902,0.8875730314375232,0.8884707582685021,0.889625209246156,0.8896227479120469,0.8885203672887976,0.8880359198263715,0.888532359377163,0.8866966996952053,0.8852763744033062,0.8848302745295323,0.8851039466635792,0.8842537572790377,0.8850556442541142,0.8855629576156262,0.885309458419265,0.8855897152452001,0.8867109450552514,0.8870360334615223,0.8878132362777413,0.8866827107828387,0.8868743446435801,0.8890344264230167,0.8885852055509482,0.8900272474811952,0.8898406326140528,0.8888974759899746,0.8886627723131244,0.8892835349977749,0.8886981400668181,0.8872803714497146,0.8871082782670678,0.8860225660123807,0.8849594816011793,0.8857668550251211,0.885148199766416,0.8862495173878233,0.8867580395536863,0.8869946105214506,0.8875206211660427,0.8871074504551492,0.886271423840232,0.8857550875367465,0.8854348635842177,0.8853067868657386,0.8851605734607126,0.8867569164616277,0.8866386350810687,0.8867985278583679,0.88581372342575,0.8857913054816778,0.8863006648360836,0.8867006545202264,0.8871742256259125,0.886798430335198,0.8860845613844361,0.8864979624618491,0.8858659121148807,0.8860578501251026,0.8853970013849805,0.885659587978303,0.8859010070831852,0.8849316633446134,0.8849484384319931,0.884896481824841,0.8850774867746978,0.8841107342515734,0.8839794562210541,0.8837567496789814,0.883180251589509,0.8843263603635698,0.884269911691114,0.8848486590108063,0.8853054403738944,0.8844194841746083,0.8857545421210945,0.8865478973827267,0.8868726054064686,0.8870577022864558,0.8869312698156354,0.8866373927094624,0.8861753228710311,0.8859103028302288,0.8847982429787151,0.8852074898418427,0.8855328664419385,0.8856612525683725,0.8856313595805277,0.8861363385063002,0.8860876307210346,0.886758624023186,0.8866061355189658,0.886464330649325,0.8868649925145429,0.8866281382845651,0.8855646589891021,0.8854957992314124,0.8850564695585028,0.8852282964132319,0.8858888398243576,0.8856135540745871,0.885610251713466,0.8862926915780535,0.8859562113631195,0.8868954399893876,0.8871857245115097,0.8879650238663165,0.8870211007165896,0.8873487504524966,0.8870877660662817,0.8864206434511984,0.8868765970224544,0.8868638221006093,0.8862977997678295,0.8866615952126279,0.8860610156375341,0.8861642669858343,0.8856169179574813,0.8851349586120917,0.8848095267940179,0.8844917012762031,0.8852324138424685,0.885158068290978,0.8851944942710689,0.8849002677286442,0.8839379276313891,0.8843554813935516,0.8838193920585169,0.8829520271194006,0.8826389548128604,0.8831916238408114,0.8830982539331991,0.8824027364101575,0.8828970514797517,0.883402350036447,0.8827706986900824,0.883318195837784,0.8834007245037472,0.8835987338158761,0.8834798372829133,0.8830645851006254,0.8827565129727177,0.8837055202816587,0.883819508186121,0.8834868174264334,0.8833230075243278,0.8844737273533726,0.8840780574704613,0.8851762165547483,0.8853925223109634,0.8861703406868521,0.8861037782972782,0.8857302021588168,0.8860847368592311,0.8858368853320655,0.8867410045695063,0.8870357134544795,0.8868746875459018,0.8868772088039895,0.8865122804834402,0.8868358444270903,0.8872288524086626,0.887206884667941,0.8867921508119185,0.8868215745577381,0.8862106203096931,0.8853478040929124,0.8857671708342173,0.8865313373953985,0.8864519819878286,0.8862019231475539,0.8854664186198622,0.8852809516070622,0.8859870723970448,0.8863094120105621,0.8873170338735502,0.8877175155836968,0.8878840432365651,0.8879624854805405,0.8872270682418746,0.8876311071348564,0.8874008221929293,0.8879088617858046,0.8875056864455831,0.8874578920935615,0.8869720285513056,0.8869664081875865,0.8867810022546987,0.8877238516521433,0.887867368843053,0.8874030187914201,0.8868138374806805,0.8867184849895018,0.8866652167975001,0.8864792844285396,0.8874642155643233,0.8862920661664263,0.8868238996264532,0.8855844120524976,0.8861525672439998,0.8864954057936855,0.8868136822117262,0.8871136605640142,0.8869364676036201,0.887809134325682,0.887321888178543,0.8878200044851619,0.8880600284438495,0.8875881678540118,0.8872100855654562,0.8885932118316753,0.8896976113981092,0.8897698358474658,0.8894976021329144,0.8900264198241576,0.8898969851027123
1,sigmaXi for xi = 0.9,0.09614840605476599,0.0848309852266873,0.0758391037131672,0.07084870342279428,0.06586376545652492,0.06266781434181135,0.059541496457717516,0.056332367519145395,0.05342957552555831,0.051108909598720095,0.04888567624951882,0.0473839258035399,0.04585378563659871,0.044341906712337044,0.04328684063222713,0.041988872488944895,0.04093374013379346,0.0388603634099318,0.037917802590916774,0.0371389303406793,0.03631693097956089,0.035643054155886755,0.035120225622769626,0.03433754183914143,0.03351188109956676,0.0328912800110605,0.03229598673348188,0.03172292302856389,0.031125777137978664,0.03061368231829761,0.03019991865971864,0.02977627671030044,0.029457308232909266,0.029185264493841026,0.028849113850000472,0.02852208099050346,0.028211485993035745,0.027815526642187675,0.027529214708170234,0.027169072941528625,0.026828809815790722,0.026533349139493165,0.026261611520980395,0.026050955977338783,0.025759533682774238,0.025389327131630546,0.0251262736816448,0.02487095168617499,0.02465997187703201,0.024377473435459276,0.02425707702901551,0.02404744752031846,0.023872026873968045,0.02370509680479609,0.023475146536954806,0.02322735605416228,0.0230557297163814,0.022823024114122934,0.022633309331261463,0.022418485714415497,0.022233387815544358,0.022088831487850655,0.021937013922772877,0.021754350302458512,0.021601994822218046,0.021428755223349177,0.021243942093979725,0.021094833612443544,0.020926323006025618,0.020727671803862334,0.020591691772384985,0.02048999886309442,0.020377837537851932,0.020238519879831763,0.020128747252240304,0.020002699957446843,0.01988100506059279,0.01976201982299127,0.019648324324506018,0.019541108830339767,0.019472024068700276,0.01936825497031137,0.019214864422836653,0.01909314077841818,0.01896495763037245,0.018860090964135153,0.018778137902454334,0.018647086943393145,0.018537849134759466,0.018452808070120855,0.018369270806089077,0.018247527645814488,0.01813126689098302,0.018072442202754627,0.018001143089188862,0.017932892341780873,0.017824892515133042,0.017730335916825674,0.017623336881391484,0.017536890246170382,0.017451610753836503,0.017350833464582178,0.017274398870766247,0.017209031804716706,0.017120819392233835,0.017043689437613346,0.016985905739556755,0.016914302715130395,0.01682495469392304,0.016756088593322917,0.016674697436261283,0.016619307157006824,0.016546334885322672,0.016484323168110146,0.016394129300841206,0.016323902899148132,0.016264394092418744,0.016200091640817312,0.01613955820752141,0.016078329860944464,0.0160174564251818,0.015965261096270337,0.015893012041134965,0.015841662447702135,0.015763971830419637,0.0156991474065619,0.015650946796146013,0.01557804060739551,0.015497644141536785,0.015432206254904646,0.01537594327523346,0.01531822956264849,0.015257058024932806,0.015206830978877805,0.015144752827985573,0.015085117295986617,0.015030426681349194,0.014988826628697379,0.014948443664834525,0.014881794607437363,0.014830020879442843,0.014788812764134041,0.014746291279079188,0.014694765719286549,0.014628812217858497,0.014581343354532603,0.014526569080348422,0.0144848640545906,0.0144316630238718,0.014392694927720865,0.014343190201131934,0.014292349463075935,0.01425600247823365,0.014194597899899254,0.014168828244366308,0.014116778312049955,0.014070901310793908,0.014027434482335531,0.013993137033444203,0.013942356089138928,0.013898783018448511,0.013860712787521134,0.01381986893699571,0.013775893936154488,0.013738678468431915,0.013708782734221865,0.013661675800636843,0.01361737576708776,0.0135839591968693,0.013554204593374097,0.01352882561396971,0.013494342704386476,0.013455830148759933,0.013416397934796872,0.01337842493370902,0.013347088494465732,0.013306974185004325,0.013268748144295362,0.01323418124151528,0.013204082594140682,0.013166053187318902,0.013123219619626054,0.013081481416696412,0.013046434289390615,0.013003548585712222,0.012971728999188586,0.012938646215637511,0.012904894368617357,0.012877675598499547,0.012846803773750026,0.012816453419854313,0.01278361820861566,0.01275211363181647,0.012715543402275046,0.01267977859563735,0.012651531484182589,0.012615472024175687,0.012580367215327012,0.012538812521506284,0.012497316901617723,0.012463061029401054,0.012433697151558844,0.012394522102105737,0.012363247546193242,0.012329500812875767,0.012296927430227356,0.012265368408848053,0.012235839113793064,0.012205688771174113,0.012181486285661814,0.012163812680825961,0.012138243758046905,0.012114616502389378,0.012094534370554386,0.01205948571998291,0.01202827894438879,0.011995567429123248,0.011970644357790449,0.01194599729337375,0.011915171520764057,0.01188964870144497,0.011871691741301524,0.011849358245439885,0.011826107617669768,0.01180256689428893,0.011775055020470559,0.011749113836005307,0.011728952349597465,0.011703499837094766,0.011674036588343956,0.011649965809430667,0.011618633994543834,0.011590694200025654,0.01156454623362822,0.01154107960981484,0.011524289762688465,0.011500805925510654,0.01148341909520679,0.011460350181493554,0.011438768974372281,0.011415244054828726,0.011383294673480177,0.011359523842636759,0.011335244599005773,0.011316118768453653,0.011293284350986203,0.011277093241858412,0.011255219576820163,0.011232382266785476,0.011216303963846711,0.011191917514037262,0.011170667582977212,0.011144329153896982,0.011122679333710672,0.011104704520118315,0.011073228310050112,0.011049162134141569,0.01102833140163284,0.011007110328778066,0.010985863409306264,0.01096838514764682,0.010945171418914256,0.010928135833524026,0.010911820075009761,0.01089220261684318,0.010871950440964995,0.010854247963515001,0.01083316078190094,0.010815018698096219,0.010792130117996299,0.010770365839809018,0.010753568900973409,0.010730884028384019,0.010705117968456657,0.010687517553199317,0.010670482301764338,0.010653968689095005,0.010636058716693942,0.010618386588556966,0.01059921340634774,0.01058307315985703,0.010562896484785955,0.0105430905026415,0.010523958775255833,0.010501571022253287,0.010479125539360281,0.010456857106144855,0.010442664400559725,0.010426311902475118,0.010409252104249292,0.010391555125907927,0.010374491086847301,0.010356868407861505,0.010342891709726644,0.01032534435599276,0.010312468912780409,0.010293979178031624,0.010278339545025767,0.010265057175782974,0.01024974020037533,0.010233665527831618,0.010213858772010623,0.01019787474027041,0.010185111565353818,0.010173018712462054,0.010161443746303456,0.010146517408509343,0.010133375569560565,0.010109341005874262,0.010094005965183929,0.01007983272926143,0.010066210785695244,0.010053061662031076,0.010035772794102223,0.01002139948912361,0.010010145443218854,0.009995548959288537,0.009978624607619736,0.009961481896643382,0.009944765626559698,0.009930200531524358,0.0099126354598937,0.0098959041673303,0.009881244052183638,0.009865394122675659,0.009853430228800577,0.00983585564234456,0.009819626530953906,0.009800819406877386,0.009786734956387983,0.009771574970675788,0.009758485767511661,0.009746369599107591,0.009731755623841808,0.009718860478498006,0.009702434226567873,0.009687933460061892,0.00967387849149394,0.009657724428436086,0.009643797102167567,0.009629806458440573,0.009614868996971978,0.009598425999411436,0.009583650014934686,0.009569912803024034,0.009559110877512156,0.009551434003926582,0.009536770269314569,0.009521071173804364,0.009507406404307198,0.009491339124888407,0.009482494856076789,0.009471918035781932,0.009457957924435002,0.009442179533727422,0.009425855511921084,0.009413234624328078,0.009401421406281012,0.009389151761855515,0.009377117889253384,0.009361618997525198,0.00935014454306695,0.009335147893775254,0.00932564937673743,0.00931293257452245,0.009301565316445224,0.00928924846079153,0.009278785829507762,0.009263844431999952,0.009252342840125532,0.009241520569157582,0.009228205035843737,0.00921593652721782,0.00920223774594339,0.009190863320935681,0.009176231474309246,0.009169295304866371,0.009157442147726385,0.009150896143092247,0.009137945874854147,0.009124319727258278,0.009111404086009394,0.009099898906488631,0.00908937251189142,0.00907510961895902,0.009064537365649885,0.009050783482987197,0.009039847335048954,0.009029791388562296,0.009019802761954571,0.009003960267468908,0.008989596584817416,0.008977563966262482,0.008966168948504008,0.008953019701232887,0.008940705946388006
2,xi for xi = -0.9,-0.9161943823378583,-0.8310047296767216,-0.8381874044282287,-0.8581253405744179,-0.9021583104284397,-0.8849722591890627,-0.8583358181884645,-0.8815743841771759,-0.9059928418175148,-0.9080221835024055,-0.9118659213265771,-0.918954634949064,-0.9099848357713705,-0.9074404895809296,-0.9007218587058635,-0.9112874435471203,-0.8938830952305605,-0.8830708133739947,-0.8829302773967143,-0.8766896098034299,-0.8716406728884453,-0.8617933352460505,-0.8648743526024061,-0.8651445481504241,-0.8633866007023832,-0.8672626287988131,-0.8713493701140362,-0.8708642401128748,-0.8706621101290146,-0.8670894615845578,-0.8675027862171855,-0.8677150788777294,-0.8663683634391696,-0.8688160036812279,-0.8670219026135627,-0.8761861309980642,-0.8772109811817839,-0.8773885998383639,-0.8753788250587999,-0.8742500310471165,-0.8734302445303496,-0.8743445616926061,-0.8706362221000218,-0.8668585355941856,-0.8616236889985224,-0.8627216282418211,-0.857254920592427,-0.859030402516179,-0.8589533463696312,-0.8636748106237057,-0.8607466454560466,-0.8550971569099366,-0.8538816566684255,-0.8570391229876588,-0.8554413041429355,-0.8516333633685381,-0.8534394009566016,-0.8507605745201533,-0.8471460147451628,-0.8532059098899204,-0.8504061198614231,-0.8499918632288838,-0.8493850464154655,-0.8515484533348819,-0.8513724215610508,-0.8509324896241826,-0.8512610395447959,-0.8494566684911732,-0.8484924745088918,-0.8523648580350317,-0.8514393805473918,-0.8532715009615965,-0.8503804334385495,-0.8457543947615754,-0.845472425262045,-0.8455608518193265,-0.8471201901111395,-0.8482241051782752,-0.8504185482627935,-0.8483542271801965,-0.8478105601154906,-0.8532735145004068,-0.8510070039098939,-0.8521906433039025,-0.8557100779107022,-0.8558362696752552,-0.8578524734764695,-0.8629699285518659,-0.8648137873651756,-0.8658048578331693,-0.8635986225130313,-0.8638839234447984,-0.863240245905257,-0.8635806614870106,-0.8629220118853569,-0.8610874375578351,-0.8631967228408068,-0.8633239255583129,-0.8632219534903094,-0.8620298783618885,-0.8625507498199976,-0.8640548803462758,-0.8658135115136304,-0.8649229537197108,-0.8634606352761323,-0.863840447571762,-0.8637254084373096,-0.8638578710635723,-0.8656845210875243,-0.8610028423018017,-0.8627813734022947,-0.8648671590881375,-0.8663055641914266,-0.864803526946813,-0.8668516361076726,-0.8647143485280963,-0.8655886676522976,-0.862994036950552,-0.8622858492391087,-0.8612599869957775,-0.8624155417152207,-0.8613581745673912,-0.8615613535413278,-0.8612486468718635,-0.8612217487071735,-0.862561608218523,-0.8619493818966412,-0.8622326985018873,-0.8617086406865788,-0.8618760923743418,-0.8627280762112217,-0.8609826620351062,-0.861229095319958,-0.8617912031924031,-0.8612200091760911,-0.8627194312044463,-0.8641895905415617,-0.8640958057263305,-0.8653334677286714,-0.8671206590031724,-0.8681105692939273,-0.8687457278375573,-0.8692095908453275,-0.8694734083599661,-0.8698565023028723,-0.8698793430294725,-0.8718984682869462,-0.8715825930517843,-0.8716697668128266,-0.8745404619528285,-0.8744173261421482,-0.8749923691394738,-0.8746223562606577,-0.8745228714159226,-0.8745383501604488,-0.8744461599600057,-0.8730034945654227,-0.8723897564330001,-0.8723422558205002,-0.8734636299075287,-0.8740204818065662,-0.874860685349413,-0.8764856682415026,-0.8750426612954793,-0.8759476914004157,-0.8758748454973928,-0.8762877945253982,-0.8766964054811199,-0.8774722515465222,-0.8762772316493376,-0.8753934904667818,-0.8762423910996027,-0.8753075440394159,-0.8753809599254919,-0.8754114515154103,-0.8774695958482605,-0.879580174715302,-0.8791337637786255,-0.877588383008177,-0.877948409668282,-0.8793952115572073,-0.8802379794484994,-0.8816716199149672,-0.8827317272694968,-0.8804620157976958,-0.881257548361894,-0.8827520789822996,-0.8841908258629094,-0.8833589835895088,-0.8832802294931201,-0.8829684155281592,-0.8830092606124107,-0.8829874867801827,-0.8826187224331145,-0.885304675827356,-0.8855101293201753,-0.886983471070019,-0.8851839057984243,-0.8852648021353773,-0.8859587995672416,-0.8861749216514017,-0.8882439302514582,-0.8885024984981456,-0.8881814219422395,-0.8865455562893337,-0.8877017839596223,-0.8883745227606716,-0.8889550914690187,-0.8889228230566669,-0.8887596918065044,-0.8885350993652525,-0.8896801458516168,-0.8907447264786059,-0.8911569653454309,-0.8913776105347427,-0.8905767899476802,-0.8909476592837094,-0.8910718891573146,-0.8910109020355269,-0.8915195343989826,-0.8915472037466484,-0.892064003140935,-0.892902847618203,-0.8921561835273578,-0.8926760797159212,-0.8917737835275655,-0.8922416089871975,-0.8921026289617051,-0.8918385565497855,-0.8926709151440959,-0.8925946087967884,-0.8913767293438695,-0.8924846951324559,-0.8921885761523284,-0.8928687282332405,-0.8937143100532023,-0.8940333345846091,-0.8941332781575861,-0.8934101426460522,-0.8930381896896822,-0.8930629607213046,-0.8934352305960344,-0.8927666732000913,-0.8926662405892899,-0.8926827347373738,-0.8925621475346267,-0.891118825067121,-0.8908779723999517,-0.8904286924375897,-0.8895786553893288,-0.8891217268785172,-0.8912186082142207,-0.8912621474876812,-0.8910144839942454,-0.8911342837405767,-0.8906410186875217,-0.8913479881542035,-0.8910804919122002,-0.891732642319853,-0.8907663388527015,-0.891241383352476,-0.8906507379999031,-0.8892044030965204,-0.8879986903426322,-0.8886068720327599,-0.8885585538123063,-0.8885865651267917,-0.888873121709,-0.8899143840672876,-0.8896382522928972,-0.8900012095118099,-0.8898015963925182,-0.8899329259867631,-0.8900587978177317,-0.8894482389740223,-0.8906789210186505,-0.8905078147438847,-0.8906261225827307,-0.8900968739167862,-0.8903673344829512,-0.8896885755051064,-0.8902915559670979,-0.890761613907438,-0.8904781502483392,-0.8906583567866152,-0.8904438941089461,-0.8894506874917222,-0.8892121551755976,-0.888719822981111,-0.8890549935458694,-0.8883633462556365,-0.8881098295659238,-0.8876430317248286,-0.8879046279376185,-0.8884987051828467,-0.8882362468772281,-0.8887492727442553,-0.8886819972656201,-0.8890327849225715,-0.8897974429422034,-0.8890056244407767,-0.889413876126739,-0.8897914532576372,-0.8904718872835288,-0.8903932895745,-0.8903530349317549,-0.8902662880744873,-0.8907115134790585,-0.8905982685935453,-0.8912909529054884,-0.8919756286981805,-0.8910296484953937,-0.8911250723000398,-0.8911422265180415,-0.890704953848632,-0.8906665667504661,-0.8902167878309166,-0.8900508527310566,-0.8896874497237164,-0.889348566133944,-0.8897200071363688,-0.8897350728902066,-0.8898671796322012,-0.8895137601074652,-0.8896051569456874,-0.8906211105693715,-0.8891073723131613,-0.8900272196654209,-0.8896304187907241,-0.8897988545141348,-0.890864988361801,-0.8905420905060047,-0.8908381330278086,-0.8909261654862403,-0.8909213425448982,-0.8909235577326364,-0.8909521192158523,-0.891307917631459,-0.8911938318831476,-0.8915609261882302,-0.8916321367433862,-0.8911766687331119,-0.8920103089844156,-0.8909198367171073,-0.8916957100635703,-0.8916493965936507,-0.8918223723202772,-0.8912690762113757,-0.8913165559049498,-0.8911172026031351,-0.8910293027085234,-0.8913181905507628,-0.8913317792363687,-0.8908993132055923,-0.8906574536234346,-0.890116041300739,-0.8894513704077205,-0.8888535066335473,-0.8889244376526132,-0.8891303397351561,-0.8894351253170804,-0.8894153257041477,-0.8889705517423888,-0.8894483086205368,-0.8891853230407516,-0.8882427179958059,-0.8874538326437245,-0.8880452219818284,-0.8879402045944791,-0.888334842841419,-0.8886775096560044,-0.8888639285330904,-0.8887476928649014,-0.8882399771774722,-0.888786723466468,-0.8879639142302918,-0.8885735166042684,-0.8889685925897264,-0.8896623990922218,-0.8892089173381218,-0.8896407334935139,-0.8902580721644341,-0.8906892513210019,-0.8903662560849461,-0.8906710847841537,-0.8907537866659822,-0.8900601752033256,-0.8904635693548597,-0.8901589193866942,-0.8900972831020136,-0.8901314470274526,-0.8907597188837009,-0.890454670976915,-0.8907986402063149,-0.8909336877118385,-0.8915409027005484
