	 A2	B2	C2	D2	 A12	A22	B12	B22	 ReA1A2	 ReB1B2	 ReAD	ReBC	   ReA1C	ReA2C	ReB1D	ReB2D	  ReA1B	ReA2B	ReB1A	ReB2A
8 parameter	 0.581647	 1.30727	 21.6293	 1.58561	 0.0773824	 0.000921809	 0.0665119	 0.231009	 -0.00844582	 -0.123955	 -0.960347	 5.31746	 -1.29373	 0.141202	 0.324749	 -0.605219	 -0.318056	 0.0347139	 -0.196689	 0.366559
20 parameter	 0.933412	0.434954	 15.4867	 0.294159	-0.418216	0.0652099	0.0713721	-0.303079	 0.0495278	 0.083722	 -3.35499	 -0.360355	 -0.906412	 1.04299	 0.0480193	  -0.451826	 -0.123029	 0.143617	 -0.134177	  -1.25249
